time_5min,elec.J,gas.J
1/1/2016 0:05,28542367,16728975
1/1/2016 0:10,28059135,16455081
1/1/2016 0:15,27562954,16181230
1/1/2016 0:20,27055564,15907422
1/1/2016 0:25,26558427,15633470
1/1/2016 0:30,26075441,15359527
1/1/2016 0:35,25585580,15085586
1/1/2016 0:40,25109645,14811637
1/1/2016 0:45,24650010,14537671
1/1/2016 0:50,24185288,14263678
1/1/2016 0:55,23716395,13989647
1/1/2016 1:00,23243237,13715569
1/1/2016 1:05,23250154,13717053
1/1/2016 1:10,23280601,13718514
1/1/2016 1:15,23320702,13719957
1/1/2016 1:20,23365484,13721389
1/1/2016 1:25,23413153,13722822
1/1/2016 1:30,23463235,13724259
1/1/2016 1:35,23514825,13725696
1/1/2016 1:40,23567796,13727125
1/1/2016 1:45,23621570,13728540
1/1/2016 1:50,23676112,13729932
1/1/2016 1:55,23731014,13731297
1/1/2016 2:00,23786251,13732631
1/1/2016 2:05,23870426,13776248
1/1/2016 2:10,23956748,13819826
1/1/2016 2:15,24044932,13863362
1/1/2016 2:20,24133389,13906855
1/1/2016 2:25,24221745,13950305
1/1/2016 2:30,24309860,13993711
1/1/2016 2:35,24397502,14037073
1/1/2016 2:40,24484431,14080390
1/1/2016 2:45,24570666,14123663
1/1/2016 2:50,24656988,14166893
1/1/2016 2:55,24742744,14210082
1/1/2016 3:00,24827760,14253231
1/1/2016 3:05,24926855,14305088
1/1/2016 3:10,25025359,14356911
1/1/2016 3:15,25125305,14408701
1/1/2016 3:20,25220667,14460460
1/1/2016 3:25,25321503,14512191
1/1/2016 3:30,25416182,14563895
1/1/2016 3:35,25513593,14615576
1/1/2016 3:40,25610161,14667235
1/1/2016 3:45,25703952,14718872
1/1/2016 3:50,25797966,14770493
1/1/2016 3:55,25891193,14822100
1/1/2016 4:00,25983272,14873696
1/1/2016 4:05,26033208,14874790
1/1/2016 4:10,26076237,14875879
1/1/2016 4:15,26117404,14876962
1/1/2016 4:20,26157791,14878042
1/1/2016 4:25,26197632,14879119
1/1/2016 4:30,26236788,14880194
1/1/2016 4:35,26275339,14881269
1/1/2016 4:40,26313026,14882346
1/1/2016 4:45,26350260,14883426
1/1/2016 4:50,26387618,14884511
1/1/2016 4:55,26424705,14885601
1/1/2016 5:00,26461452,14886697
1/1/2016 5:05,26544502,14929455
1/1/2016 5:10,26647848,14972220
1/1/2016 5:15,26738553,15014993
1/1/2016 5:20,26838272,15057775
1/1/2016 5:25,26929119,15100569
1/1/2016 5:30,27031224,15143373
1/1/2016 5:35,27121337,15186188
1/1/2016 5:40,27225080,15229014
1/1/2016 5:45,27314900,15271849
1/1/2016 5:50,27419189,15314695
1/1/2016 5:55,27507748,15357549
1/1/2016 6:00,27687990,15400412
1/1/2016 6:05,27660443,15358577
1/1/2016 6:10,27619198,15316752
1/1/2016 6:15,27576061,15274937
1/1/2016 6:20,27530073,15233128
1/1/2016 6:25,27481164,15191315
1/1/2016 6:30,27431107,15149494
1/1/2016 6:35,27379721,15107670
1/1/2016 6:40,27326991,15065848
1/1/2016 6:45,27273184,15024031
1/1/2016 6:50,27218226,14982220
1/1/2016 6:55,27162323,14940414
1/1/2016 7:00,27105397,14898613
1/1/2016 7:05,27150194,14899136
1/1/2016 7:10,27219649,14899674
1/1/2016 7:15,27281173,14900225
1/1/2016 7:20,27345546,14900788
1/1/2016 7:25,27408058,14901359
1/1/2016 7:30,21599381,14901938
1/1/2016 7:35,21334758,14902524
1/1/2016 7:40,21167688,14903110
1/1/2016 7:45,21000162,14903683
1/1/2016 7:50,20684615,14904236
1/1/2016 7:55,20426569,14904772
1/1/2016 8:00,20202395,14905293
1/1/2016 8:05,19995988,14905982
1/1/2016 8:10,19782354,14906658
1/1/2016 8:15,19555006,14907322
1/1/2016 8:20,19315868,14907975
1/1/2016 8:25,18955658,14908615
1/1/2016 8:30,18722824,14909242
1/1/2016 8:35,18290038,14909841
1/1/2016 8:40,17806357,14910398
1/1/2016 8:45,17313832,14910894
1/1/2016 8:50,16594256,14911309
1/1/2016 8:55,16043184,14911628
1/1/2016 9:00,15750486,14911838
1/1/2016 9:05,15463788,14912199
1/1/2016 9:10,15230317,14912355
1/1/2016 9:15,15098928,14912199
1/1/2016 9:20,14974297,14911641
1/1/2016 9:25,14805108,14910606
1/1/2016 9:30,14692393,14909057
1/1/2016 9:35,14630206,14906993
1/1/2016 9:40,14535898,14904471
1/1/2016 9:45,14488662,14901637
1/1/2016 9:50,14469689,14898648
1/1/2016 9:55,14465243,14895607
1/1/2016 10:00,14471768,14892565
1/1/2016 10:05,14458518,14838607
1/1/2016 10:10,14446931,14784695
1/1/2016 10:15,14437582,14730795
1/1/2016 10:20,14429556,14676861
1/1/2016 10:25,14420236,14622864
1/1/2016 10:30,14407898,14568789
1/1/2016 10:35,14377085,14514621
1/1/2016 10:40,14360842,14460349
1/1/2016 10:45,14479829,14406013
1/1/2016 10:50,14333067,14351689
1/1/2016 10:55,14288876,14297379
1/1/2016 11:00,14237630,14243095
1/1/2016 11:05,14112188,14197502
1/1/2016 11:10,13977269,14151942
1/1/2016 11:15,13836646,14106398
1/1/2016 11:20,13694474,14060845
1/1/2016 11:25,13557307,14015269
1/1/2016 11:30,13438789,13969668
1/1/2016 11:35,13356416,13924048
1/1/2016 11:40,13286998,13878417
1/1/2016 11:45,13226223,13832726
1/1/2016 11:50,13173193,13786892
1/1/2016 11:55,13068794,13740860
1/1/2016 12:00,13002022,13694634
1/1/2016 12:05,12872850,13546487
1/1/2016 12:10,12677986,13398250
1/1/2016 12:15,12484010,13249922
1/1/2016 12:20,12301368,13101477
